id,name,type,area,latitude,longitude,priceRange,summary,description,googleMapsLink,photoUrl,notionLink,recommendedDishes,tags
thai-5,Khao Kang Maruay,泰餐,CBD,-33.8802,151.2048,$$,嗆辣過癮的生醃蝦與必淋醬汁的酸甜蒸魚。,生醃蝦有蒜瓣+芥末，很嗆很過癮。打拋豬要挑掉綠辣椒不然很辣。蒸魚酸甜微辣的調味蠻好吃的，記得把醬汁淋上去讓魚肉多沾點醬味。,https://maps.app.goo.gl/vVq8R5X4EM3C15Kr5,https://picsum.photos/seed/nthai5/800/600,,生醃蝦 | 打拋豬 | 蒸魚,泰餐 | CBD | 生醃蝦 | 打拋豬 | 蒸魚
kor-1,Hansang,韓餐,CBD,-33.8765,151.2035,$$,暖心牛骨湯首選，生牛肉石鍋拌飯表現出色。,專門喝湯的，只要湯類都很好，個人推薦牛骨湯。生牛肉石鍋拌飯不錯。續小菜現在要加錢了，要注意。,https://maps.app.goo.gl/RNadaFQGrtFJvE6J7,https://picsum.photos/seed/nkor1/800/600,,牛骨湯 | 生牛肉石鍋拌飯,韓餐 | CBD | 牛骨湯 | 生牛肉石鍋拌飯
kor-2,Butchers Buffet,韓餐,CBD,-33.877,151.204,$$,肉質不錯的韓燒吃到飽，適合多人聚餐。,韓燒吃到飽，肉質都算不錯，想大口吃肉的時候可以去吃!,https://maps.app.goo.gl/hGM6ieTCf2gizvuXA,https://picsum.photos/seed/nkor2/800/600,,韓燒吃到飽,韓餐 | CBD | 韓燒吃到飽
kor-3,Park Poon Sook City,韓餐,CBD,-33.8785,151.2045,$$,便宜大碗的朋友聚餐首選，炸排骨必點。,每道料理都便宜又大碗，無論是辣醬炒豬肉，還是豬骨湯、海鮮煎餅、炸雞，樣樣都口味正宗不踩雷。最推薦的菜色是炸排骨。,https://maps.app.goo.gl/bNbcvBLSDKKZwQdv8,https://picsum.photos/seed/nkor3/800/600,,炸排骨 | 辣醬炒豬肉 | 豬骨湯,韓餐 | CBD | 炸排骨 | 辣醬炒豬肉 | 豬骨湯
jap-1,Kobe Wagyu Yakiniku,日餐,CBD,-33.8745,151.2055,$$$,市區最知名的頂級日燒，肉質保證且提供吃到飽。,雪梨市區日燒應該算最有名的了，肉質沒話說! 食量不錯的朋友也可以直接選吃到飽，有包含生魚片跟壽司~,https://maps.app.goo.gl/UpVxuCzvJ5R5pcJM6,https://picsum.photos/seed/njap1/800/600,,吃到飽 | 生魚片 | 壽司,日餐 | CBD | 吃到飽 | 生魚片 | 壽司
jap-2,Daruma,日餐,CBD,-33.8725,151.2065,$$,味道正宗的日式居酒屋，山藥明太子與烤鯖魚。,居酒屋，客人多數是日本人味道很正宗，好吃的有山藥明太子、生魚片、烤鯖魚、炸茄子等等。,https://maps.app.goo.gl/mwtEoqoX4ZcqxVuE7,https://picsum.photos/seed/njap2/800/600,,山藥明太子 | 生魚片 | 烤鯖魚,日餐 | CBD | 山藥明太子 | 生魚片 | 烤鯖魚
jap-3,Goryon San,日餐,Suburbs,-33.8845,151.212,$$,位於 Surry Hills 的正宗日式串燒店。,在Surry Hills，但離Central火車站不遠的居酒屋。串燒好吃。,https://maps.app.goo.gl/ZWWBBta8ZAjthD2f9,https://picsum.photos/seed/njap3/800/600,,串燒,日餐 | Suburbs | 串燒
jap-4,Gojima,日餐,CBD,-33.8692,151.1942,$$,如摩斯漢堡般的驚艷米漢堡，西式餡料完美結合。,會有點摩斯漢堡感覺的米漢堡，只是形狀不一樣，餡料也是西式的漢堡肉排起司餡，但是超級好吃!,https://g.co/kgs/nQeSGHX,https://picsum.photos/seed/njap4/800/600,,米漢堡,日餐 | CBD | 米漢堡
jap-5,Mensho Tokyo Sydney,日餐,CBD,-33.8675,151.21,$$,湯頭甜香的排隊拉麵店，限量鴨肉拉麵是重點。,拉麵湯頭又甜又香，可以選有三種不同的肉那款，裡面有鴨肉，很好吃。要在中午12點前去，排隊超過10分鐘就完全不值得了。,https://maps.app.goo.gl/TWJ8Xf2pAt4uTSZZA,https://picsum.photos/seed/njap5/800/600,,三種肉拉麵,日餐 | CBD | 三種肉拉麵
jap-6,Gold Class Daruma,日餐,CBD,-33.8722,151.2062,$$,彷彿置身日本的高CP值午間便當。,店面、服務生跟顧客都會讓人有種到了日本的感覺! 中午的便當可以吃到很豐富的菜品，非常划算又好吃。,https://maps.app.goo.gl/DYFvuwGbEiW2Yt4Y6,https://picsum.photos/seed/njap6/800/600,,中午便當,日餐 | CBD | 中午便當
jap-7,Ito Restaurant,日餐,Suburbs,-33.8855,151.2125,$$$,Surry Hills 必吃炸豬排，Kingfish 配菜特別。,在Surry Hills，炸豬排真的超級好吃! Kingfish的醬汁跟配菜蠻特別的。。價格偏貴，要慎重。,https://maps.app.goo.gl/uXJBqdtStD1WZAnDA,https://picsum.photos/seed/njap7/800/600,,炸豬排 | Kingfish,日餐 | Suburbs | 炸豬排 | Kingfish
jap-8,Mikazuki,日餐,CBD,-33.8715,151.2115,$$,黑蒜汁拉麵香濃好味，生魚片新鮮划算。,特別口味的黑蒜汁拉麵很好吃，生魚片新鮮也不貴。,https://maps.app.goo.gl/woqhemVSSgg1HfDW7,https://picsum.photos/seed/njap8/800/600,,黑蒜汁拉麵 | 生魚片,日餐 | CBD | 黑蒜汁拉麵 | 生魚片
jap-9,Nichi Getsu Dō,日餐,CBD,-33.876,151.205,$$,濃郁湯頭與有咬勁的粗麵，週一加送溫泉蛋。,麵體較粗有咬勁、湯頭味道很濃。每週一招牌口味送一顆溫泉蛋!,https://maps.app.goo.gl/qc5Sfsvw2LiYSzKs7,https://picsum.photos/seed/njap9/800/600,,招牌拉麵,日餐 | CBD | 招牌拉麵
chi-1,The Dolar Shop,中餐,CBD,-33.8788,151.2038,$$$,單人火鍋界天花板，頂級銀湯與飯後冰淇淋。,單人火鍋界天花板，推薦銀湯。蝦滑跟飛餅都超讚。要留一點點胃因為飯後有免費冰淇淋。,https://maps.app.goo.gl/BKeaQyHQQ6YgAs4B8,https://picsum.photos/seed/nchi1/800/600,,銀湯 | 蝦滑 | 飛餅,中餐 | CBD | 銀湯 | 蝦滑 | 飛餅
chi-2,辛香匯,中餐,CBD,-33.8795,151.2045,$$,雪梨川菜十年不倒常勝軍，口味穩定且道道下飯。,雪梨川菜十年不倒常勝軍。麻婆豆腐、酸湯肥牛、乾鍋花菜、口水雞、魚香茄子… 啊實在太多了，總之每一道都好吃!,https://maps.app.goo.gl/NVvafCVsZGnd18Rs7,https://picsum.photos/seed/nchi2/800/600,,麻婆豆腐 | 酸湯肥牛 | 乾鍋花菜,中餐 | CBD | 麻婆豆腐 | 酸湯肥牛 | 乾鍋花菜
chi-3,小湖南,中餐,CBD,-33.8785,151.204,$$,正宗香辣湘菜，嗜辣者的天堂。,愛吃辣的請進，怎麼辣怎麼點就行。,https://maps.app.goo.gl/bMaM3ijcUZwwbJuY6,https://picsum.photos/seed/nchi3/800/600,,辣味湘菜,中餐 | CBD | 辣味湘菜
chi-4,桂林米粉,中餐,CBD,-33.879,151.203,$,雪梨最強螺獅粉，豬腳口味更是一絕。,螺獅粉超級無敵好吃的! 大推豬腳口味，一定要加炸蛋，吸飽了湯汁又辣又香~,https://maps.app.goo.gl/qC7gGndz6cdsaEueA,https://picsum.photos/seed/nchi4/800/600,,螺獅粉 | 豬腳口味 | 炸蛋,中餐 | CBD | 螺獅粉 | 豬腳口味 | 炸蛋
chi-5,杏園酒家,中餐,CBD,-33.8645,151.2075,$$$,商業區口碑極佳的港式飲茶。,港式飲茶，商業區算比較好吃的了，亞裔上班族中午聚餐好選擇。,https://maps.app.goo.gl/91k1222vfuMQNcX39,https://picsum.photos/seed/nchi5/800/600,,港式飲茶,中餐 | CBD | 港式飲茶
chi-6,皇庭海鮮舫,中餐,CBD,-33.8792,151.2048,$$$,唐人街飲茶新貴，鳳爪入味、舂風得意好吃。,唐人街比較新的港式飲茶。推薦鳳爪，醬很入味膠質感很夠。舂風得意這道菜上最快的一家。,https://maps.app.goo.gl/LJ6sWkUgeVZnowNo9,https://picsum.photos/seed/nchi6/800/600,,鳳爪 | 舂風得意,中餐 | CBD | 鳳爪 | 舂風得意
chi-7,八樂居,中餐,CBD,-33.8782,151.2045,$$$,雪梨老字號港式飲茶，牛雜是必點招牌。,雪梨老字號港式飲茶了，牛雜一絕!,https://maps.app.goo.gl/RP3JnzrBvKcnB326,https://picsum.photos/seed/nchi7/800/600,,港式飲茶 | 牛雜,中餐 | CBD | 港式飲茶 | 牛雜
chi-8,無Ta·川菜 Wuta Bistro,中餐,CBD,-33.8665,151.2085,$$,市區最強川菜熱炒，份量十足適合多人聚餐。,市區川菜熱炒最強了吧，菜單覆蓋面超廣基本上想得到的川菜都點的到。推麻辣豆腐肥腸。,https://maps.app.goo.gl/o3QxbmfVV9An3Y6NA,https://picsum.photos/seed/nchi8/800/600,,麻辣豆腐肥腸 | 川菜熱炒,中餐 | CBD | 麻辣豆腐肥腸 | 川菜熱炒
chi-9,福記 FuJi,中餐,CBD,-33.8775,151.2042,$$,復刻台灣味的豬腳飯與沙茶粿條，生醃螯蝦鮮美。,懷念台灣口味的可以來這家福記，豬腳飯口味跟台灣有87分像。沙茶牛肉粿條也很像。生醃螯蝦非常有味。,https://maps.app.goo.gl/TmvYvrLRG3xvvBkL7,https://picsum.photos/seed/nchi9/800/600,,豬腳飯 | 沙茶牛肉粿條 | 生醃螯蝦,中餐 | CBD | 豬腳飯 | 沙茶牛肉粿條 | 生醃螯蝦
tai-1,Sunflower (台灣食堂),台灣餐廳,CBD,-33.8785,151.2032,$$,市區最愛的復刻鐵路便當。,Sunflower (台灣食堂) 的鐵路便當。市區最愛。,https://www.google.com/maps/search/?api=1&query=Sunflower%20Taiwanese%20Gourmet%20Sydney,https://picsum.photos/seed/ntai1/800/600,,鐵路便當,台灣餐廳 | CBD | 鐵路便當
tai-2,一合鍋,台灣餐廳,CBD,-33.878,151.204,$$,溫暖沙茶小火鍋，如三媽臭臭鍋般的回憶。,一合鍋的沙茶鍋，很像三媽臭臭鍋的感覺。,https://www.google.com/maps/search/?api=1&query=Yi%20He%20Guo%20Sydney%20Sydney,https://picsum.photos/seed/ntai2/800/600,,沙茶鍋,台灣餐廳 | CBD | 沙茶鍋
tai-3,小零煎餅,台灣餐廳,CBD,-33.8795,151.2038,$,香濃順口的玉米起司蛋餅。,小零煎餅的玉米起司蛋餅。,https://www.google.com/maps/search/?api=1&query=Xiao%20Ling%20Jian%20Bing%20Sydney%20Sydney,https://picsum.photos/seed/ntai3/800/600,,玉米起司蛋餅,台灣餐廳 | CBD | 玉米起司蛋餅
tai-4,禚家,台灣餐廳,CBD,-33.879,151.205,$$,滷肉飯與麻辣鴨珍是靈魂，便當與滷味皆美味。,禚家的滷肉飯、滷味(尤其是麻辣鴨珍)、炒米粉跟便當隨便選菜都好吃。,https://www.google.com/maps/search/?api=1&query=Zhuo%20Jia%20Taiwanese%20Sydney%20Sydney,https://picsum.photos/seed/ntai4/800/600,,滷肉飯 | 麻辣鴨珍 | 炒米粉,台灣餐廳 | CBD | 滷肉飯 | 麻辣鴨珍 | 炒米粉
tai-5,Chef n Wok,台灣餐廳,CBD,-33.8788,151.2042,$$,隨便點都不踩雷的經典台灣熱炒。,老闆夫妻一位是台灣人一位東南亞，所以菜系比較廣，但是隨便點都好吃，尤其是沙茶羊肉，真的很有鍋氣，秒回台灣的熱炒感! 滷肉則是入口即化，都很下飯。,https://www.google.com/maps/search/?api=1&query=Chef%20n%20Wok%20Sydney%20Sydney,https://picsum.photos/seed/ntai5/800/600,,滷肉 | 沙茶羊肉空心菜,台灣餐廳 | CBD | 滷肉 | 沙茶羊肉空心菜
mal-1,Mamak,馬來餐,CBD,-33.8778,151.2045,$$,Roti Canai皮酥香脆。,Roti真的很好吃! 皮很讚，注意尖峰時段人很多。其他主菜隨便點都好吃。,https://maps.app.goo.gl/9Pnnjqnuux4f4mLi9,https://picsum.photos/seed/nmal1/800/600,,Roti Canai | Satay Chicken,馬來餐 | CBD | Roti Canai | Satay Chicken
mal-2,Ho Jiak (Haymarket),馬來餐,CBD,-33.879,151.204,$$,唐人街精緻馬來熱炒，超讚辣味與質感喇沙。,唐人街的是熱炒類。喇沙很精緻，有附一片檸檬。辣菜很辣！！但味道真的很讚。,https://maps.app.goo.gl/fCt4nZ6sUUT9LvTM7,https://picsum.photos/seed/nmal2/800/600,,喇沙 | 熱炒,馬來餐 | CBD | 喇沙 | 熱炒
mal-3,Malay Chinese Noodle Bar,馬來餐,CBD,-33.864,151.206,$$,上班族最愛的滑嫩雞肉喇沙，中午必排隊。,超級好吃的喇沙，上班族最愛! 雞肉選腿肉最嫩。中午超過十二點去一定大排長龍。,https://maps.app.goo.gl/yJCaFbHjvpqS56Gj8,https://picsum.photos/seed/nmal3/800/600,,喇沙 (Laksa),馬來餐 | CBD | 喇沙 (Laksa)
mal-4,David's Kitchen,馬來餐,CBD,-33.868,151.2052,$$,充滿油蔥酥香氣的香辣喇沙，還有豐富蔬菜。,喇沙是香辣口味辣度十足，配上超多的油蔥酥口感也很豐富。是少數有放蔬菜的喇沙。,https://maps.app.goo.gl/GPWohfBUuBRjw1AQ8,https://picsum.photos/seed/nmal4/800/600,,香辣喇沙,馬來餐 | CBD | 香辣喇沙
fre-1,The Little Snail,法餐,CBD,-33.872,151.199,$$$,實惠的三合一法餐，靠窗眺望情人港夜景。,通常網路上都有Groupon可以買，three course menu是很划算的。座位選靠窗看Darling Harbour。推前菜招牌蝸牛跟鴉胸。,https://maps.app.goo.gl/o3u1WUz7mGKwuzLU7,https://picsum.photos/seed/nfre1/800/600,,招牌蝸牛 | 鴨胸,法餐 | CBD | 招牌蝸牛 | 鴨胸
fre-2,Hubert,法餐,CBD,-33.8655,151.2105,$$$$,地下室爵士樂浪漫氛圍，推薦鴨胸與鮮美魚類。,地下室的氛圍感適合情侶約會。麵包可以無限續的很好吃。大推blue eye cod魚很新鮮。,https://maps.app.goo.gl/63SJvxERCrtgSPZs6,https://picsum.photos/seed/nfre2/800/600,,鴨胸 | 麵包 | 大蘑菇 | Blue Eye Cod,法餐 | CBD | 鴨胸 | 麵包 | 大蘑菇 | Blue Eye Cod
fre-3,Felix,法餐,CBD,-33.8652,151.2078,$$$$,交通便利的優雅法餐廳，必試特製生牛肉塔塔。,交通最方便的地方。生牛肉(tartare)好吃。布雷愛好者衝。,https://maps.app.goo.gl/ogKAAhcYhNkMNNAH8,https://picsum.photos/seed/nfre3/800/600,,生牛肉 tartare | Kingfish 生魚片 | 烤布雷,法餐 | CBD | 生牛肉 tartare | Kingfish 生魚片 | 烤布雷
ita-1,Bar Totti’s,義餐,CBD,-33.8635,151.2085,$$$,現烤澎鬆麵包配起司，Wynyard 站旁的聚餐首選。,就在Wynard火車站跟輕軌站旁很方便。最有名的是現烤的麵包。記得要提前訂位喔!,https://maps.app.goo.gl/og2eRhGEokankZSj7,https://picsum.photos/seed/nita1/800/600,,現烤麵包 | Burrata cheese | Kingfish,義餐 | CBD | 現烤麵包 | Burrata cheese | Kingfish
spa-1,Bar Topa,西班牙餐,CBD,-33.8645,151.209,$$,基本不踩雷的 Tapas 店，極推鮮甜大蝦與蝦油。,Tapas店，空間很小所以建議早點到，基本怎麼點都不雷。最愛King Prawn，超大超鮮甜，蝦油很香。,https://maps.app.goo.gl/MovzzUj6xAav4T729,https://picsum.photos/seed/nspa1/800/600,,King Prawn | Tapas,西班牙餐 | CBD | King Prawn | Tapas
spa-2,Deux Frères,西班牙餐,CBD,-33.864,151.208,$$,氣氛滿點的西班牙小酒館。,Tapas店，氣氛很好，香腸上點火觀賞效果極佳也好吃。配酒好地方。,https://maps.app.goo.gl/3cbMbexsPh9BodNW7,https://picsum.photos/seed/nspa2/800/600,,香腸,西班牙餐 | CBD | 香腸
mid-1,Babylon,中東餐,CBD,-33.8685,151.2095,$$$$,Westfield樓頂的高級餐廳，爆汁烤雞必點。,適合慶生或特殊節日吃的類fine dining。中東人最擅長的烤雞必點，一咬下去直接爆汁不誇張。魚有Murray Cod也是經典。,https://maps.app.goo.gl/fHVXcJjLTw5KMLT38,https://picsum.photos/seed/nmid1/800/600,,炭烤花椰菜 | 中東烤雞 | T骨牛排,中東餐 | CBD | 炭烤花椰菜 | 中東烤雞 | T骨牛排
mid-2,Mezepotamia,中東餐,Suburbs,-33.834,151.213,$$$,入口即化的極嫩羊肩，驚艷的開心果味調飲。,羊肩超級、超級嫩! 醬汁微酸，配上酸黃瓜很解膩。開心果冰淇淋的開心果味很濃。,https://maps.app.goo.gl/S5ueiLgrKDcBRLS38,https://picsum.photos/seed/nmid2/800/600,,羊肩 | 烤茄子配烤蝦 | 開心果冰淇淋,中東餐 | Suburbs | 羊肩 | 烤茄子配烤蝦 | 開心果冰淇淋
des-1,Messina,甜點,Suburbs,-33.8852,151.2125,$,雪梨第一 Gelato 名店，口感層次豐富。,雪梨人的最愛，裡面都是有原料的所以吃起來層次感很豐富。招牌開心果吃幾次都不膩。,https://maps.app.goo.gl/EnKqMopBQjZ3c8cb7,https://picsum.photos/seed/ndes1/800/600,,Italian Nougat | Honey Pockey | 開心果,甜點 | Suburbs | Italian Nougat | Honey Pockey | 開心果
des-2,Anita,甜點,CBD,-33.8835,151.2005,$$,必吃開心果與椰子荔枝口味，可同時選擇兩種。,開心果口味跟椰子荔枝口味好吃。小份也可以裝兩個口味喔!,https://maps.app.goo.gl/z2G6z7jmo7dFGrT88,https://picsum.photos/seed/ndes2/800/600,,開心果 | 椰子荔枝,甜點 | CBD | 開心果 | 椰子荔枝
des-3,Ice Kirin Bar,甜點,Suburbs,-33.832,151.21,$$,台灣人開的特色茶味冰淇淋店，大福激推。,台灣人開的茶味冰淇淋店，很好吃! 強烈推薦升級大福。,https://maps.app.goo.gl/Tjbb4fqFD6NpmJjv7,https://picsum.photos/seed/ndes4/800/600,,茶味冰淇淋,甜點 | Suburbs | 茶味冰淇淋
des-4,Blackstar,甜點,CBD,-33.871,151.2085,$$,全球知名的草莓西瓜蛋糕，清爽不甜膩。,草莓西瓜蛋糕，冰涼的西瓜配上草莓跟軟餅乾底，不會太甜膩，味道完美！,https://maps.app.goo.gl/fSMarFRRQmJXX547A,https://picsum.photos/seed/ndes5/800/600,,草莓西瓜蛋糕,甜點 | CBD | 草莓西瓜蛋糕
des-5,Dulcet,甜點,CBD,-33.8795,151.2045,$$,精緻美味的蛋糕首選，女孩們生日的心頭好。,大部分口味都不錯，可以放心點，適合作為朋友的生日蛋糕。,https://maps.app.goo.gl/ok9ztXVKK9kqpzAY7,https://picsum.photos/seed/ndes6/800/600,,生日蛋糕,甜點 | CBD | 生日蛋糕
des-6,Top Impressions,甜點,Suburbs,-33.8825,151.1925,$$,驚艷的抹茶爆漿可頌與醇香烘焙茶。,抹茶餡的爆漿可頌超好吃。hojicha不太膩。,https://maps.app.goo.gl/gU8Uj8uMCQfSe25e8,https://picsum.photos/seed/ndes7/800/600,,抹茶爆漿可頌 | hojicha,甜點 | Suburbs | 抹茶爆漿可頌 | hojicha
des-7,Flour and Stone,甜點,CBD,-33.8732,151.2165,$$,想要最澳洲的體驗必吃 Panna Cotta Lamington。,Panna Cotta Lamington真的是一絕，想要很澳洲，必吃!但強烈推薦不要一個人吃，因為很甜。,https://maps.app.goo.gl/8FU5hyTiQhpVLyWN8,https://picsum.photos/seed/ndes8/800/600,,Panna Cotta Lamington,甜點 | CBD | Panna Cotta Lamington
des-8,Banksia Bakehouse,甜點,CBD,-33.864,151.2115,$$,幸福感滿滿的烤布雷丹麥。,巴斯克蛋糕很好吃，但最有名的還是他們家的Danish。個人最愛烤布雷口味。,https://maps.app.goo.gl/N7uZxR8qTqXyVS7m9,https://picsum.photos/seed/ndes9/800/600,,巴斯克蛋糕 | 烤布雷Danish,甜點 | CBD | 巴斯克蛋糕 | 烤布雷Danish
des-9,KOI Dessert Bar,甜點,CBD,-33.8838,151.1998,$$$,甜點王主理的光影美學美型蛋糕。,主廚有參加過兩屆澳洲版廚神當道第四名。奶酪跟蛋糕又美又好吃。,https://maps.app.goo.gl/kcQg3DjJ4MYhveJU9,https://picsum.photos/seed/ndes10/800/600,,奶酪 | 蛋糕,甜點 | CBD | 奶酪 | 蛋糕
des-10,AP Bakery,甜點,Suburbs,-33.8842,151.2118,$$,鹹甜層次分明的開心果塔與夏季芒果丹麥塔。,開心果鹹塔很有趣。夏季限定芒果椰子丹麥塔超好吃！三明治系列整體都不錯。,https://www.apbakery.com.au/,https://picsum.photos/seed/ndes11/800/600,,開心果鹹塔 | 夏季限定芒果椰子丹麥塔 | 三明治,甜點 | Suburbs | 開心果鹹塔 | 夏季限定芒果椰子丹麥塔 | 三明治
cof-1,Skittle Lane,咖啡,CBD,-33.865,151.2055,$,巷弄裡的簡約質感店，手沖與濾掛職人精神。,隱藏在小路上的簡約風格店，有手沖、濾掛等豐富選項。現在在Circular Quay也有分店了!,https://maps.app.goo.gl/Tx5NDqkvPcytiDZ77,https://picsum.photos/seed/ncof1/800/600,,手沖咖啡,咖啡 | CBD | 手沖咖啡
cof-2,Gumption,咖啡,CBD,-33.8685,151.2085,$,獨特豆香氣味，藏身老建築裡的品味時刻。,他們家咖啡豆有獨特的香氣，店面在Strand Arcade裡，可以一邊感受老建築的魅力。,https://maps.app.goo.gl/6ufUamWgm1Cu3F776,https://picsum.photos/seed/ncof2/800/600,,咖啡豆,咖啡 | CBD | 咖啡豆
cof-3,Two Penny Blue,咖啡,CBD,-33.8633,151.2058,$,上班族早晨通勤路線的豐富早餐與優質咖啡。,咖啡口味多樣，買咖啡豆還送一杯現煮。早餐品項也豐富。是我早上通勤的必買路線。,https://maps.app.goo.gl/PjF8bmJyhPC54xTv9,https://picsum.photos/seed/ncof3/800/600,,咖啡豆 | 捲餅 | 瑪芬堡 | 法式吐司,咖啡 | CBD | 咖啡豆 | 捲餅 | 瑪芬堡 | 法式吐司
cof-4,Dutch Smuggler,咖啡,CBD,-33.8655,151.2075,$,穩定高品質的上班族愛店。,這家咖啡品質一直都不錯，除了傳統咖啡外也有冷萃。,https://maps.app.goo.gl/VMsD32cYT15oiFbb7,https://picsum.photos/seed/ncof4/800/600,,冷萃,咖啡 | CBD | 冷萃
